학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,등록금(원),운영수입(세입총액)(원),[1.3] 세입 중 등록금 비율,기부금(원),운영수입(세입총액)(원),[1.3] 세입 중 기부금 비율,법인전입금(원),운영수입(원),[1.3] 세입 중 법인전입금 비율(사립대),법정부담금 부담액(원),법정부담금 기준액(원),[1.3] 법정부담금 부담률(사립대),법인전입금(원),법인 일반회계 재정규모(원),[1.3] 법인 재정규모 대비 법인전입금 비율(사립대),총교육비(원),등록금(원),[1.3] 교육비 환원율,[1.5] 학생 충원 성과,(취업자+창업자+진학자) 수(명),취·창업 및 진학대상자 수(명),[1.5] 졸업생 진로 성과,전임교원 확보율(%),겸임교원 확보율(%),[3.1] 전임교원 및 겸임교원 확보율,강사료 계(원),강의시간수 계(시간),[3.3] 강사 강의료,교내연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교내연구비,등재(후보)지 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[3.4] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교외연구비,[3.4] 연구성과 기준값 대비 실적,학부 및 대학원 재학생수,직원수(명),[3.5] 직원 1인당 학생수,장학금(원),등록금(원),[4.1] 장학금 비율,수용가능인원(명),재학생수(명),[4.5] 기숙사 수용률 I,내국인 입사 인원(명),내국인 재학생수(명),[4.5] 기숙사 수용률 II,자료구입비(원),학생수(명),[4.6] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.6] 재학생 1,000명당 도서관 직원수"
가야대학교,사립,경남,1450,1610,1685,1685,1685,11433880020,20735265777,55.14219,168818000,20735265777,0.81415,155660000,20735265777,0.7507,148400000,771328745,19.23952,155660000,1099173420,14.16155,21146539661,11433880020,184.94631,91.21813,345,464,74.35344,68,0.9,68.9,266031000,5010,53100.0,70500,66,1068.18181,38.8247,66,0.58825,6.3576,66,0.09632,3.2111,66,0.04865,327659,66,4964.5303,4.9146,1685,62,27.17741,1921262184,10948240190,17.54859,483,1623,29.7597,414,1609,25.73026,95000890,1734,54787.13379,2,1685,1.18694
가천대학교,사립,경기,16522,22520,26063,26063,26063,1.98885E+11,3.20672E+11,62.02136,4863383140,3.20672E+11,1.51662,6635010000,3.20672E+11,2.06909,6635010000,10700770890,62.00497,6635010000,20001643681,33.17232,3.50149E+11,1.98885E+11,176.0559,134.65678,2650,3847,68.88484,64.3,4,68.3,1832312925,33277.5,55061.61595,11661500,995,11720.1005,264.6771,995,0.266,825.0671,995,0.82921,27.7135,995,0.02785,86896589,995,87333.25527,26.54182,26063,461,56.53579,31871249965,1.63034E+11,19.54877,3015,24161,12.47878,2093,18873,11.08991,2533922976,24831,102046.7551,30.6,26063,1.17407
가톨릭관동대학교,사립,강원,4778,5229,5757,5757,5757,39737246204,78743481026,50.46417,866183720,78743481026,1.1,2412000000,78743481026,3.06311,2410000000,3377175033,71.36141,2412000000,12809226108,18.83017,83561478293,39737246204,210.28502,75.29157,965,1507,64.0345,69.2,4,73.2,47179800,873.7,54000.0,431500,355,1215.49295,129.4579,355,0.36467,50.0933,355,0.1411,16.4262,355,0.04627,6593836,355,18574.18591,6.49267,5757,229,25.13973,4912491445,35875299754,13.69324,2267,5294,42.82206,1742,5244,33.21891,356410931,5763,61844.68696,6.3,5757,1.09431
가톨릭꽃동네대학교,사립,충북,395,418,483,483,483,3300786665,9531985642,34.62853,333143000,9531985642,3.495,1500000000,9531985642,15.73649,341400000,330576600,103.27409,1500000000,2666457446,56.25441,8316942758,3300786665,251.9685,96.75925,67,89,75.28089,85.1,3.3,88.4,67885700,1175,57775.06382,26000,23,1130.43478,18.8167,23,0.81811,1.1,23,0.04782,5.5333,23,0.24057,87657,23,3811.17391,7.68475,483,40,12.075,699060914,2915506665,23.97733,193,444,43.46846,171,442,38.68778,50000000,465,107526.88172,1,483,2.07039
가톨릭대학교,사립,경기,7131,8952,11642,11642,11642,89773776206,2.41854E+11,37.11906,5133778456,2.41854E+11,2.12268,47578524568,2.41854E+11,19.67245,7964456992,7936835318,100.34801,47578524568,3.79133E+11,12.54928,2.99994E+11,89773776206,334.16707,121.39951,1028,1541,66.70992,68.2,4,72.2,1153034585,21301,54130.53776,4719040,1283,3678.12938,254.7262,1283,0.19853,785.0193,1283,0.61186,28.9735,1283,0.02258,152586792,1283,118929.68978,25.07384,11642,542,21.4797,10753668804,56713698616,18.96132,2269,10403,21.81101,1338,9042,14.79761,5228866040,10947,477652.87658,22,11642,1.8897
감리교신학대학교,사립,서울,547,564,1206,1206,1206,7387470000,13838809008,53.38226,1715426860,13838809008,12.39576,539000000,13838809008,3.89484,512761750,512761750,100.0,539000000,778726125,69.2156,11635520855,7387470000,157.50345,85.19637,93,93,100,35.8,4,39.79999,0,0,0,109500,24,4562.5,17,24,0.70833,0,24,0,2,24,0.08333,20000,24,833.33333,3.82936,1206,46,26.21739,476108362,3511494100,13.55856,280,1207,23.19801,242,1194,20.268,100202321,1211,82743.45251,2,1206,1.65837
강남대학교,사립,경기,5848,6522,6876,6876,6876,49873888627,81691764552,61.0513,962006500,81691764552,1.1776,430000000,81691764552,0.52636,430000000,3310267380,12.98988,430000000,932805300,46.0975,83336356179,49873888627,167.09416,109.35613,960,1570,61.14649,67.1,4,71.09999,908812000,16756.3,54237.03323,218880,206,1062.52427,138.3169,206,0.67144,14.078,206,0.06833,10.6805,206,0.05184,4646701,206,22556.80097,14.06092,6876,184,37.36956,6053001071,45681678137,13.25039,940,6661,14.11199,618,6342,9.74456,368651519,6600,55856.29075,6.6,6876,0.95986
강서대학교,사립,서울,1018,1742,1924,1924,1924,12348334883,17724282115,69.66902,266842331,17724282115,1.50551,350000000,17724282115,1.97469,350000000,580460660,60.29693,350000000,766171928,45.68165,15616028656,12348334883,126.46262,157.22021,153,225,68.0,66.6,4,70.59999,191904000,3489,55002.57953,60149,54,1113.87037,21.6528,54,0.40097,4.7945,54,0.08878,5.1331,54,0.09505,257038,54,4759.96296,4.98167,1924,57,33.75438,2101454587,11131251213,18.87887,208,1856,11.20689,101,1163,8.68443,123412398,1851,66673.36466,2,1924,1.0395
강원대학교,국립,강원,16925,18974,22291,22291,22291,80387599233,3.96301E+11,20.28449,4252797734,3.96301E+11,1.07312,,,,,,,,,,4.76318E+11,80387599233,592.52668,104.39614,2619,4144,63.1998,78.1,0.3,78.39999,6313082030,65088.7,96991.98217,3478364,1035,3360.73816,539.6723,1035,0.52142,525.2382,1035,0.50747,54.5237,1035,0.05267,115464961,1035,111560.34879,23.67334,22291,1018,21.89685,15185555298,73965866766,20.53049,6860,21660,31.67128,5945,19994,29.73392,4244579355,21383,198502.51858,28.85,22291,1.29424
건국대학교,사립,서울,12864,15960,20351,20351,20351,1.70842E+11,2.74181E+11,62.30998,5262966209,2.74181E+11,1.91952,3431189000,2.74181E+11,1.25143,3431189000,8501630030,40.35918,3431189000,14578412294,23.53609,3.27478E+11,1.70842E+11,191.68459,131.48788,2278,3172,71.81588,60.6,4,64.59999,62376750,1169.7,53327.13516,6225808,657,9476.11567,363.807,657,0.55373,415.7599,657,0.63281,45.3163,657,0.06897,83801495,657,127551.74277,28.14317,20351,702,28.99002,24198060436,1.20328E+11,20.11008,3113,18215,17.09031,2047,16493,12.41132,3299843070,19820,166490.56861,22.2,20351,1.09085
건국대학교(글로컬),사립,충북,6399,7190,7670,7670,7670,60024936746,1.22477E+11,49.00925,520261390,1.22477E+11,0.42478,1968811000,1.22477E+11,1.60749,1968811000,4551086220,43.26024,1968811000,14578412294,13.50497,1.16227E+11,60024936746,193.63064,113.47853,1092,1662,65.70397,64.5,4,68.5,678024960,12172.8,55700.0,1341000,407,3294.84029,162.1309,407,0.39835,123.643,407,0.30379,27.2646,407,0.06698,14924874,407,36670.45208,11.99751,7670,228,33.64035,9573206679,54163883947,17.67452,2286,7574,30.1822,2163,7327,29.52094,875589065,7415,118083.48819,9.4,7670,1.22555
건양대학교,사립,충남,5865,6372,7050,7050,7050,45521868566,1.12188E+11,40.5764,2130668420,1.12188E+11,1.89919,4616095370,1.12188E+11,4.1146,4616095370,4605658040,100.22661,4616095370,43820058818,10.5342,1.11427E+11,45521868566,244.77769,95.71879,1134,1482,76.51821,67.8,4,71.8,247286000,4495,55013.57063,574348,350,1640.99428,170.6551,350,0.48758,66.2783,350,0.18936,10.4929,350,0.02997,12635715,350,36102.04285,9.2903,7050,216,32.63888,8960872408,40827047549,21.94837,2595,6652,39.01082,2258,6447,35.02404,667185685,6893,96791.77208,7.6,7050,1.07801
